Cust_ID,Age,Customer_Segment,Customer_Vintage_Group
CC25034,35,Diamond,VG1
CC59625,22,Diamond,VG1
CC69314,33,Diamond,VG1
CC67036,46,Diamond,VG1
CC25597,44,Diamond,VG1
CC57469,22,Diamond,VG1
CC15926,50,Diamond,VG1
CC31951,46,Diamond,VG1
CC32388,26,Diamond,VG1
CC48802,44,Diamond,VG1
CC88738,25,Diamond,VG1
CC56494,35,Diamond,VG1
CC55858,30,Diamond,VG1
CC64296,27,Diamond,VG1
CC96605,39,Diamond,VG1
CC46367,37,Diamond,VG1
CC59995,28,Diamond,VG1
CC65245,45,Diamond,VG1
CC86105,46,Diamond,VG1
CC15194,38,Diamond,VG1
CC58269,43,Diamond,VG1
CC30680,35,Diamond,VG1
CC71280,36,Diamond,VG1
CC92403,42,Diamond,VG1
CC63842,22,Diamond,VG1
CC99926,40,Diamond,VG1
CC67761,25,Diamond,VG1
CC54029,25,Diamond,VG1
CC47548,30,Diamond,VG1
CC31421,40,Diamond,VG1
CC60510,41,Diamond,VG1
CC40555,47,Diamond,VG1
CC28030,23,Diamond,VG1
CC30309,21,Diamond,VG1
CC68162,45,Diamond,VG1
CC45858,24,Diamond,VG1
CC77341,22,Diamond,VG1
CC52486,26,Diamond,VG1
CC82362,42,Diamond,VG1
CC98291,42,Diamond,VG1
CC77839,36,Diamond,VG1
CC96868,21,Diamond,VG1
CC46077,49,Diamond,VG1
CC86395,31,Diamond,VG1
CC58734,34,Diamond,VG1
CC53837,25,Diamond,VG1
CC57116,40,Diamond,VG1
CC54983,27,Diamond,VG1
CC32133,28,Diamond,VG1
CC12016,39,Diamond,VG1
CC32807,31,Diamond,VG1
CC56491,50,Diamond,VG1
CC61750,48,Diamond,VG1
CC68347,27,Diamond,VG1
CC95629,40,Diamond,VG1
CC58975,50,Diamond,VG1
CC63221,23,Diamond,VG1
CC90171,40,Diamond,VG1
CC46484,49,Diamond,VG1
CC58454,25,Diamond,VG1
CC59340,25,Diamond,VG1
CC45951,23,Diamond,VG1
CC30134,34,Diamond,VG1
CC27267,36,Diamond,VG1
CC47364,29,Diamond,VG1
CC25571,36,Diamond,VG1
CC84738,39,Diamond,VG1
CC83426,30,Diamond,VG1
CC12515,35,Diamond,VG1
CC59324,44,Diamond,VG1
CC86666,46,Diamond,VG1
CC42989,35,Diamond,VG1
CC86309,45,Diamond,VG1
CC62994,48,Diamond,VG1
CC98497,46,Diamond,VG1
CC42030,45,Diamond,VG1
CC17773,38,Diamond,VG1
CC53855,39,Diamond,VG1
CC90050,29,Diamond,VG1
CC93096,42,Diamond,VG1
CC15346,25,Diamond,VG1
CC11329,42,Diamond,VG1
CC27132,25,Diamond,VG1
CC94027,35,Diamond,VG1
CC85497,24,Diamond,VG1
CC32627,24,Diamond,VG1
CC93948,29,Diamond,VG1
CC53477,47,Diamond,VG1
CC43841,30,Diamond,VG1
CC43526,21,Diamond,VG1
CC76450,25,Diamond,VG1
CC21312,45,Diamond,VG1
CC72261,25,Diamond,VG1
CC78068,41,Diamond,VG1
CC28389,42,Diamond,VG1
CC16827,36,Diamond,VG1
